QID,title,titleSlug,difficulty,acceptanceRate,paidOnly,topicTags,categorySlug
47,Permutations II,permutations-ii,Medium,59.26197033959415,False,"array,backtracking",algorithms
48,Rotate Image,rotate-image,Medium,74.37953509525538,False,"array,math,matrix",algorithms
49,Group Anagrams,group-anagrams,Medium,68.5679589506407,False,"array,hash-table,string,sorting",algorithms
50,"Pow(x, n)",powx-n,Medium,34.83165823024803,False,"math,recursion",algorithms
51,N-Queens,n-queens,Hard,68.26009009574814,False,"array,backtracking",algorithms
52,N-Queens II,n-queens-ii,Hard,73.953116224679,False,backtracking,algorithms
53,Maximum Subarray,maximum-subarray,Medium,50.79087972673134,False,"array,divide-and-conquer,dynamic-programming",algorithms
54,Spiral Matrix,spiral-matrix,Medium,49.52379513033161,False,"array,matrix,simulation",algorithms
55,Jump Game,jump-game,Medium,38.50538988544871,False,"array,dynamic-programming,greedy",algorithms
56,Merge Intervals,merge-intervals,Medium,47.34842848189312,False,"array,sorting",algorithms
57,Insert Interval,insert-interval,Medium,41.521493280718005,False,array,algorithms
58,Length of Last Word,length-of-last-word,Easy,51.747927717280795,False,string,algorithms
59,Spiral Matrix II,spiral-matrix-ii,Medium,71.12454477792133,False,"array,matrix,simulation",algorithms
60,Permutation Sequence,permutation-sequence,Hard,46.984597744896334,False,"math,recursion",algorithms
61,Rotate List,rotate-list,Medium,37.774779322048715,False,"linked-list,two-pointers",algorithms
62,Unique Paths,unique-paths,Medium,64.31255996684436,False,"math,dynamic-programming,combinatorics",algorithms
63,Unique Paths II,unique-paths-ii,Medium,41.5794598703311,False,"array,dynamic-programming,matrix",algorithms
64,Minimum Path Sum,minimum-path-sum,Medium,63.916501103509646,False,"array,dynamic-programming,matrix",algorithms
65,Valid Number,valid-number,Hard,19.845378290875942,False,string,algorithms
66,Plus One,plus-one,Easy,45.31130934568978,False,"array,math",algorithms
67,Add Binary,add-binary,Easy,53.58355586446619,False,"math,string,bit-manipulation,simulation",algorithms
68,Text Justification,text-justification,Hard,43.48002540195225,False,"array,string,simulation",algorithms
69,Sqrt(x),sqrtx,Easy,38.78974912375362,False,"math,binary-search",algorithms
70,Climbing Stairs,climbing-stairs,Easy,52.89299361805936,False,"math,dynamic-programming,memoization",algorithms
71,Simplify Path,simplify-path,Medium,42.510716818835604,False,"string,stack",algorithms
72,Edit Distance,edit-distance,Medium,56.46421197522368,False,"string,dynamic-programming",algorithms
73,Set Matrix Zeroes,set-matrix-zeroes,Medium,55.6903706647084,False,"array,hash-table,matrix",algorithms
74,Search a 2D Matrix,search-a-2d-matrix,Medium,50.124852679526214,False,"array,binary-search,matrix",algorithms
75,Sort Colors,sort-colors,Medium,62.312834072511514,False,"array,two-pointers,sorting",algorithms
76,Minimum Window Substring,minimum-window-substring,Hard,43.02275572594097,False,"hash-table,string,sliding-window",algorithms
77,Combinations,combinations,Medium,70.43355163103004,False,backtracking,algorithms
78,Subsets,subsets,Medium,77.5242955822452,False,"array,backtracking,bit-manipulation",algorithms
79,Word Search,word-search,Medium,42.80304670856091,False,"array,string,backtracking,matrix",algorithms
80,Remove Duplicates from Sorted Array II,remove-duplicates-from-sorted-array-ii,Medium,58.33382614930846,False,"array,two-pointers",algorithms
81,Search in Rotated Sorted Array II,search-in-rotated-sorted-array-ii,Medium,37.68176270801601,False,"array,binary-search",algorithms
82,Remove Duplicates from Sorted List II,remove-duplicates-from-sorted-list-ii,Medium,47.49812019221724,False,"linked-list,two-pointers",algorithms
83,Remove Duplicates from Sorted List,remove-duplicates-from-sorted-list,Easy,52.55693512677592,False,linked-list,algorithms
84,Largest Rectangle in Histogram,largest-rectangle-in-histogram,Hard,44.479437628191675,False,"array,stack,monotonic-stack",algorithms
85,Maximal Rectangle,maximal-rectangle,Hard,50.46372933153255,False,"array,dynamic-programming,stack,matrix,monotonic-stack",algorithms
86,Partition List,partition-list,Medium,56.29999654804665,False,"linked-list,two-pointers",algorithms
87,Scramble String,scramble-string,Hard,40.13541659337025,False,"string,dynamic-programming",algorithms
88,Merge Sorted Array,merge-sorted-array,Easy,49.67815356731863,False,"array,two-pointers,sorting",algorithms
89,Gray Code,gray-code,Medium,59.23575256014523,False,"math,backtracking,bit-manipulation",algorithms
90,Subsets II,subsets-ii,Medium,57.303016067371146,False,"array,backtracking,bit-manipulation",algorithms
91,Decode Ways,decode-ways,Medium,34.91721565971274,False,"string,dynamic-programming",algorithms
92,Reverse Linked List II,reverse-linked-list-ii,Medium,47.702873919187525,False,linked-list,algorithms
93,Restore IP Addresses,restore-ip-addresses,Medium,49.97868405173544,False,"string,backtracking",algorithms
94,Binary Tree Inorder Traversal,binary-tree-inorder-traversal,Easy,76.1495211155323,False,"stack,tree,depth-first-search,binary-tree",algorithms
95,Unique Binary Search Trees II,unique-binary-search-trees-ii,Medium,57.78954604802446,False,"dynamic-programming,backtracking,tree,binary-search-tree,binary-tree",algorithms
96,Unique Binary Search Trees,unique-binary-search-trees,Medium,61.052159783822106,False,"math,dynamic-programming,tree,binary-search-tree,binary-tree",algorithms
97,Interleaving String,interleaving-string,Medium,40.00920052372212,False,"string,dynamic-programming",algorithms
98,Validate Binary Search Tree,validate-binary-search-tree,Medium,32.95804369378969,False,"tree,depth-first-search,binary-search-tree,binary-tree",algorithms
99,Recover Binary Search Tree,recover-binary-search-tree,Medium,53.164525706222996,False,"tree,depth-first-search,binary-search-tree,binary-tree",algorithms
100,Same Tree,same-tree,Easy,62.14926762781909,False,"tree,depth-first-search,breadth-first-search,binary-tree",algorithms
101,Symmetric Tree,symmetric-tree,Easy,56.530350347528724,False,"tree,depth-first-search,breadth-first-search,binary-tree",algorithms
102,Binary Tree Level Order Traversal,binary-tree-level-order-traversal,Medium,67.25106631637975,False,"tree,breadth-first-search,binary-tree",algorithms
103,Binary Tree Zigzag Level Order Traversal,binary-tree-zigzag-level-order-traversal,Medium,58.969475417496355,False,"tree,breadth-first-search,binary-tree",algorithms
104,Maximum Depth of Binary Tree,maximum-depth-of-binary-tree,Easy,75.3795279585678,False,"tree,depth-first-search,breadth-first-search,binary-tree",algorithms
105,Construct Binary Tree from Preorder and Inorder Traversal,construct-binary-tree-from-preorder-and-inorder-traversal,Medium,63.9467804652312,False,"array,hash-table,divide-and-conquer,tree,binary-tree",algorithms
106,Construct Binary Tree from Inorder and Postorder Traversal,construct-binary-tree-from-inorder-and-postorder-traversal,Medium,62.90028790189395,False,"array,hash-table,divide-and-conquer,tree,binary-tree",algorithms
107,Binary Tree Level Order Traversal II,binary-tree-level-order-traversal-ii,Medium,63.44690529030533,False,"tree,breadth-first-search,binary-tree",algorithms
108,Convert Sorted Array to Binary Search Tree,convert-sorted-array-to-binary-search-tree,Easy,71.72350734829178,False,"array,divide-and-conquer,tree,binary-search-tree,binary-tree",algorithms
109,Convert Sorted List to Binary Search Tree,convert-sorted-list-to-binary-search-tree,Medium,61.9748849837846,False,"linked-list,divide-and-conquer,tree,binary-search-tree,binary-tree",algorithms
110,Balanced Binary Tree,balanced-binary-tree,Easy,52.106300613586,False,"tree,depth-first-search,binary-tree",algorithms
111,Minimum Depth of Binary Tree,minimum-depth-of-binary-tree,Easy,47.95055292061957,False,"tree,depth-first-search,breadth-first-search,binary-tree",algorithms
112,Path Sum,path-sum,Easy,50.431709532110226,False,"tree,depth-first-search,breadth-first-search,binary-tree",algorithms
113,Path Sum II,path-sum-ii,Medium,58.504671105426475,False,"backtracking,tree,depth-first-search,binary-tree",algorithms
114,Flatten Binary Tree to Linked List,flatten-binary-tree-to-linked-list,Medium,64.96380457360425,False,"linked-list,stack,tree,depth-first-search,binary-tree",algorithms
115,Distinct Subsequences,distinct-subsequences,Hard,46.99850500020847,False,"string,dynamic-programming",algorithms
116,Populating Next Right Pointers in Each Node,populating-next-right-pointers-in-each-node,Medium,62.73844192513266,False,"linked-list,tree,depth-first-search,breadth-first-search,binary-tree",algorithms
117,Populating Next Right Pointers in Each Node II,populating-next-right-pointers-in-each-node-ii,Medium,52.55829488758533,False,"linked-list,tree,depth-first-search,breadth-first-search,binary-tree",algorithms
118,Pascal's Triangle,pascals-triangle,Easy,74.29751438365678,False,"array,dynamic-programming",algorithms
119,Pascal's Triangle II,pascals-triangle-ii,Easy,64.04172897104546,False,"array,dynamic-programming",algorithms
120,Triangle,triangle,Medium,56.595750460881135,False,"array,dynamic-programming",algorithms
121,Best Time to Buy and Sell Stock,best-time-to-buy-and-sell-stock,Easy,53.666691714563484,False,"array,dynamic-programming",algorithms
122,Best Time to Buy and Sell Stock II,best-time-to-buy-and-sell-stock-ii,Medium,66.50579759538743,False,"array,dynamic-programming,greedy",algorithms
123,Best Time to Buy and Sell Stock III,best-time-to-buy-and-sell-stock-iii,Hard,47.990661570747484,False,"array,dynamic-programming",algorithms
124,Binary Tree Maximum Path Sum,binary-tree-maximum-path-sum,Hard,40.04273225416248,False,"dynamic-programming,tree,depth-first-search,binary-tree",algorithms
125,Valid Palindrome,valid-palindrome,Easy,47.51176539630936,False,"two-pointers,string",algorithms
126,Word Ladder II,word-ladder-ii,Hard,27.27531735258581,False,"hash-table,string,backtracking,breadth-first-search",algorithms
127,Word Ladder,word-ladder,Hard,39.23666019108198,False,"hash-table,string,breadth-first-search",algorithms
128,Longest Consecutive Sequence,longest-consecutive-sequence,Medium,47.277328429378166,False,"array,hash-table,union-find",algorithms
129,Sum Root to Leaf Numbers,sum-root-to-leaf-numbers,Medium,65.84577936713045,False,"tree,depth-first-search,binary-tree",algorithms
130,Surrounded Regions,surrounded-regions,Medium,39.48101191497819,False,"array,depth-first-search,breadth-first-search,union-find,matrix",algorithms
131,Palindrome Partitioning,palindrome-partitioning,Medium,67.60858810054692,False,"string,dynamic-programming,backtracking",algorithms
132,Palindrome Partitioning II,palindrome-partitioning-ii,Hard,33.961404691423155,False,"string,dynamic-programming",algorithms
133,Clone Graph,clone-graph,Medium,57.40739015651869,False,"hash-table,depth-first-search,breadth-first-search,graph",algorithms
134,Gas Station,gas-station,Medium,45.514295440236715,False,"array,greedy",algorithms
135,Candy,candy,Hard,43.32082472842056,False,"array,greedy",algorithms
136,Single Number,single-number,Easy,72.9230274023925,False,"array,bit-manipulation",algorithms
137,Single Number II,single-number-ii,Medium,62.68463723390041,False,"array,bit-manipulation",algorithms
138,Copy List with Random Pointer,copy-list-with-random-pointer,Medium,56.19229043044961,False,"hash-table,linked-list",algorithms
139,Word Break,word-break,Medium,46.80928077808057,False,"array,hash-table,string,dynamic-programming,trie,memoization",algorithms
140,Word Break II,word-break-ii,Hard,48.092483733860924,False,"array,hash-table,string,dynamic-programming,backtracking,trie,memoization",algorithms
141,Linked List Cycle,linked-list-cycle,Easy,50.43072378138847,False,"hash-table,linked-list,two-pointers",algorithms
142,Linked List Cycle II,linked-list-cycle-ii,Medium,51.34790179689613,False,"hash-table,linked-list,two-pointers",algorithms
143,Reorder List,reorder-list,Medium,58.75798940368514,False,"linked-list,two-pointers,stack,recursion",algorithms
144,Binary Tree Preorder Traversal,binary-tree-preorder-traversal,Easy,69.55711366022894,False,"stack,tree,depth-first-search,binary-tree",algorithms
145,Binary Tree Postorder Traversal,binary-tree-postorder-traversal,Easy,70.9840068338467,False,"stack,tree,depth-first-search,binary-tree",algorithms
146,LRU Cache,lru-cache,Medium,42.496337653719415,False,"hash-table,linked-list,design,doubly-linked-list",algorithms
147,Insertion Sort List,insertion-sort-list,Medium,53.63608824650581,False,"linked-list,sorting",algorithms
148,Sort List,sort-list,Medium,57.97213045163434,False,"linked-list,two-pointers,divide-and-conquer,sorting,merge-sort",algorithms
149,Max Points on a Line,max-points-on-a-line,Hard,26.772898098842113,False,"array,hash-table,math,geometry",algorithms
150,Evaluate Reverse Polish Notation,evaluate-reverse-polish-notation,Medium,51.493409853413574,False,"array,math,stack",algorithms
151,Reverse Words in a String,reverse-words-in-a-string,Medium,42.510901542780495,False,"two-pointers,string",algorithms
152,Maximum Product Subarray,maximum-product-subarray,Medium,35.094637223974765,False,"array,dynamic-programming",algorithms
153,Find Minimum in Rotated Sorted Array,find-minimum-in-rotated-sorted-array,Medium,50.39454683401053,False,"array,binary-search",algorithms
154,Find Minimum in Rotated Sorted Array II,find-minimum-in-rotated-sorted-array-ii,Hard,43.67036542250422,False,"array,binary-search",algorithms
155,Min Stack,min-stack,Medium,54.20965670853551,False,"stack,design",algorithms
156,Binary Tree Upside Down,binary-tree-upside-down,Medium,62.81320903620401,True,"tree,depth-first-search,binary-tree",algorithms
157,Read N Characters Given Read4,read-n-characters-given-read4,Easy,41.52387713857626,True,"array,simulation,interactive",algorithms
158,Read N Characters Given read4 II - Call Multiple Times,read-n-characters-given-read4-ii-call-multiple-times,Hard,42.287277563052136,True,"array,simulation,interactive",algorithms
159,Longest Substring with At Most Two Distinct Characters,longest-substring-with-at-most-two-distinct-characters,Medium,55.407240738403885,True,"hash-table,string,sliding-window",algorithms
160,Intersection of Two Linked Lists,intersection-of-two-linked-lists,Easy,57.51555180716497,False,"hash-table,linked-list,two-pointers",algorithms
161,One Edit Distance,one-edit-distance,Medium,34.295695537532794,True,"two-pointers,string",algorithms
162,Find Peak Element,find-peak-element,Medium,45.96543082649009,False,"array,binary-search",algorithms
163,Missing Ranges,missing-ranges,Easy,33.73185838845671,True,array,algorithms
164,Maximum Gap,maximum-gap,Medium,46.015493299574295,False,"array,sorting,bucket-sort,radix-sort",algorithms
165,Compare Version Numbers,compare-version-numbers,Medium,40.649140262896054,False,"two-pointers,string",algorithms
166,Fraction to Recurring Decimal,fraction-to-recurring-decimal,Medium,25.05653131155954,False,"hash-table,math,string",algorithms
167,Two Sum II - Input Array Is Sorted,two-sum-ii-input-array-is-sorted,Medium,61.32285873938855,False,"array,two-pointers,binary-search",algorithms
168,Excel Sheet Column Title,excel-sheet-column-title,Easy,40.68815444619723,False,"math,string",algorithms
169,Majority Element,majority-element,Easy,64.8441985143087,False,"array,hash-table,divide-and-conquer,sorting,counting",algorithms
170,Two Sum III - Data structure design,two-sum-iii-data-structure-design,Easy,38.04659370124925,True,"array,hash-table,two-pointers,design,data-stream",algorithms
171,Excel Sheet Column Number,excel-sheet-column-number,Easy,63.79142223037657,False,"math,string",algorithms
172,Factorial Trailing Zeroes,factorial-trailing-zeroes,Medium,43.35625375410957,False,math,algorithms
173,Binary Search Tree Iterator,binary-search-tree-iterator,Medium,72.07018337530837,False,"stack,tree,design,binary-search-tree,binary-tree,iterator",algorithms
174,Dungeon Game,dungeon-game,Hard,38.13255333488382,False,"array,dynamic-programming,matrix",algorithms
175,Combine Two Tables,combine-two-tables,Easy,75.973579721872,False,database,database
176,Second Highest Salary,second-highest-salary,Medium,40.43747553005662,False,database,database
177,Nth Highest Salary,nth-highest-salary,Medium,37.96394218663443,False,database,database
178,Rank Scores,rank-scores,Medium,62.35818040047909,False,database,database
179,Largest Number,largest-number,Medium,36.19567802981919,False,"array,string,greedy,sorting",algorithms
180,Consecutive Numbers,consecutive-numbers,Medium,46.51462053037946,False,database,database
181,Employees Earning More Than Their Managers,employees-earning-more-than-their-managers,Easy,69.53749935965139,False,database,database
182,Duplicate Emails,duplicate-emails,Easy,71.08968627214966,False,database,database
183,Customers Who Never Order,customers-who-never-order,Easy,69.14628392000755,False,database,database
184,Department Highest Salary,department-highest-salary,Medium,51.7314198870218,False,database,database
185,Department Top Three Salaries,department-top-three-salaries,Hard,53.29606494180198,False,database,database
186,Reverse Words in a String II,reverse-words-in-a-string-ii,Medium,54.63159675236806,True,"two-pointers,string",algorithms
187,Repeated DNA Sequences,repeated-dna-sequences,Medium,48.929532355210355,False,"hash-table,string,bit-manipulation,sliding-window,rolling-hash,hash-function",algorithms
188,Best Time to Buy and Sell Stock IV,best-time-to-buy-and-sell-stock-iv,Hard,42.80751283865865,False,"array,dynamic-programming",algorithms
189,Rotate Array,rotate-array,Medium,40.607870705720515,False,"array,math,two-pointers",algorithms
190,Reverse Bits,reverse-bits,Easy,58.62583868791934,False,"divide-and-conquer,bit-manipulation",algorithms
191,Number of 1 Bits,number-of-1-bits,Easy,71.0506628944285,False,"divide-and-conquer,bit-manipulation",algorithms
192,Word Frequency,word-frequency,Medium,25.761020940419822,False,shell,shell
193,Valid Phone Numbers,valid-phone-numbers,Easy,26.027754067081744,False,shell,shell
194,Transpose File,transpose-file,Medium,26.34808077693849,False,shell,shell
195,Tenth Line,tenth-line,Easy,33.371213310312356,False,shell,shell
196,Delete Duplicate Emails,delete-duplicate-emails,Easy,61.91844812439188,False,database,database
197,Rising Temperature,rising-temperature,Easy,47.42667417079961,False,database,database
198,House Robber,house-robber,Medium,51.02309411125982,False,"array,dynamic-programming",algorithms
199,Binary Tree Right Side View,binary-tree-right-side-view,Medium,63.10346567853403,False,"tree,depth-first-search,breadth-first-search,binary-tree",algorithms
200,Number of Islands,number-of-islands,Medium,59.51051698046729,False,"array,depth-first-search,breadth-first-search,union-find,matrix",algorithms
201,Bitwise AND of Numbers Range,bitwise-and-of-numbers-range,Medium,46.91329011248053,False,bit-manipulation,algorithms
202,Happy Number,happy-number,Easy,56.129318438721874,False,"hash-table,math,two-pointers",algorithms
203,Remove Linked List Elements,remove-linked-list-elements,Easy,48.84264692762689,False,"linked-list,recursion",algorithms
204,Count Primes,count-primes,Medium,33.606220323832666,False,"array,math,enumeration,number-theory",algorithms
205,Isomorphic Strings,isomorphic-strings,Easy,45.15597747452916,False,"hash-table,string",algorithms
206,Reverse Linked List,reverse-linked-list,Easy,76.58193983291943,False,"linked-list,recursion",algorithms
207,Course Schedule,course-schedule,Medium,46.771400553708894,False,"depth-first-search,breadth-first-search,graph,topological-sort",algorithms
208,Implement Trie (Prefix Tree),implement-trie-prefix-tree,Medium,65.19377247931429,False,"hash-table,string,design,trie",algorithms
209,Minimum Size Subarray Sum,minimum-size-subarray-sum,Medium,47.12189087108864,False,"array,binary-search,sliding-window,prefix-sum",algorithms
210,Course Schedule II,course-schedule-ii,Medium,50.48643427912176,False,"depth-first-search,breadth-first-search,graph,topological-sort",algorithms
211,Design Add and Search Words Data Structure,design-add-and-search-words-data-structure,Medium,45.26986108452905,False,"string,depth-first-search,design,trie",algorithms
212,Word Search II,word-search-ii,Hard,36.301199604940464,False,"array,string,backtracking,trie,matrix",algorithms
213,House Robber II,house-robber-ii,Medium,41.99673225129066,False,"array,dynamic-programming",algorithms
214,Shortest Palindrome,shortest-palindrome,Hard,33.467858226020425,False,"string,rolling-hash,string-matching,hash-function",algorithms
215,Kth Largest Element in an Array,kth-largest-element-in-an-array,Medium,66.76454193382693,False,"array,divide-and-conquer,sorting,heap-priority-queue,quickselect",algorithms
216,Combination Sum III,combination-sum-iii,Medium,69.69761303727891,False,"array,backtracking",algorithms
217,Contains Duplicate,contains-duplicate,Easy,61.70378496007627,False,"array,hash-table,sorting",algorithms
218,The Skyline Problem,the-skyline-problem,Hard,42.69209473643693,False,"array,divide-and-conquer,binary-indexed-tree,segment-tree,line-sweep,heap-priority-queue,ordered-set",algorithms
219,Contains Duplicate II,contains-duplicate-ii,Easy,45.17763342838125,False,"array,hash-table,sliding-window",algorithms
220,Contains Duplicate III,contains-duplicate-iii,Hard,22.76814722827892,False,"array,sliding-window,sorting,bucket-sort,ordered-set",algorithms
221,Maximal Square,maximal-square,Medium,46.595566542289404,False,"array,dynamic-programming,matrix",algorithms
222,Count Complete Tree Nodes,count-complete-tree-nodes,Easy,65.2902274392714,False,"binary-search,bit-manipulation,tree,binary-tree",algorithms
223,Rectangle Area,rectangle-area,Medium,46.21788822044927,False,"math,geometry",algorithms
224,Basic Calculator,basic-calculator,Hard,43.448304327148115,False,"math,string,stack,recursion",algorithms
225,Implement Stack using Queues,implement-stack-using-queues,Easy,63.7241829527322,False,"stack,design,queue",algorithms
226,Invert Binary Tree,invert-binary-tree,Easy,77.00242449634824,False,"tree,depth-first-search,breadth-first-search,binary-tree",algorithms
227,Basic Calculator II,basic-calculator-ii,Medium,43.66093439233069,False,"math,string,stack",algorithms
228,Summary Ranges,summary-ranges,Easy,50.67556802611778,False,array,algorithms
229,Majority Element II,majority-element-ii,Medium,51.497127542018475,False,"array,hash-table,sorting,counting",algorithms
230,Kth Smallest Element in a BST,kth-smallest-element-in-a-bst,Medium,72.56980423003866,False,"tree,depth-first-search,binary-search-tree,binary-tree",algorithms
231,Power of Two,power-of-two,Easy,47.755787891847795,False,"math,bit-manipulation,recursion",algorithms
232,Implement Queue using Stacks,implement-queue-using-stacks,Easy,66.25095513394791,False,"stack,design,queue",algorithms
233,Number of Digit One,number-of-digit-one,Hard,34.588413270933316,False,"math,dynamic-programming,recursion",algorithms
234,Palindrome Linked List,palindrome-linked-list,Easy,53.203521248309386,False,"linked-list,two-pointers,stack,recursion",algorithms
235,Lowest Common Ancestor of a Binary Search Tree,lowest-common-ancestor-of-a-binary-search-tree,Medium,64.79538558387046,False,"tree,depth-first-search,binary-search-tree,binary-tree",algorithms
236,Lowest Common Ancestor of a Binary Tree,lowest-common-ancestor-of-a-binary-tree,Medium,62.283083429450215,False,"tree,depth-first-search,binary-tree",algorithms
237,Delete Node in a Linked List,delete-node-in-a-linked-list,Medium,79.71676327873686,False,linked-list,algorithms
238,Product of Array Except Self,product-of-array-except-self,Medium,66.24313177210766,False,"array,prefix-sum",algorithms
239,Sliding Window Maximum,sliding-window-maximum,Hard,46.57449880880256,False,"array,queue,sliding-window,heap-priority-queue,monotonic-queue",algorithms
240,Search a 2D Matrix II,search-a-2d-matrix-ii,Medium,52.664895328736975,False,"array,binary-search,divide-and-conquer,matrix",algorithms
241,Different Ways to Add Parentheses,different-ways-to-add-parentheses,Medium,65.44388344644526,False,"math,string,dynamic-programming,recursion,memoization",algorithms
242,Valid Anagram,valid-anagram,Easy,64.54010480094603,False,"hash-table,string,sorting",algorithms
243,Shortest Word Distance,shortest-word-distance,Easy,65.34197488930302,True,"array,string",algorithms
244,Shortest Word Distance II,shortest-word-distance-ii,Medium,61.22687913817973,True,"array,hash-table,two-pointers,string,design",algorithms
245,Shortest Word Distance III,shortest-word-distance-iii,Medium,58.481472252874376,True,"array,string",algorithms
246,Strobogrammatic Number,strobogrammatic-number,Easy,47.68189555763001,True,"hash-table,two-pointers,string",algorithms
247,Strobogrammatic Number II,strobogrammatic-number-ii,Medium,52.31974171947865,True,"array,string,recursion",algorithms
248,Strobogrammatic Number III,strobogrammatic-number-iii,Hard,42.12811659141039,True,"array,string,recursion",algorithms
249,Group Shifted Strings,group-shifted-strings,Medium,65.62609892315913,True,"array,hash-table,string",algorithms
250,Count Univalue Subtrees,count-univalue-subtrees,Medium,56.425292462609214,True,"tree,depth-first-search,binary-tree",algorithms
251,Flatten 2D Vector,flatten-2d-vector,Medium,49.50507445401692,True,"array,two-pointers,design,iterator",algorithms
252,Meeting Rooms,meeting-rooms,Easy,58.080116039989434,True,"array,sorting",algorithms
253,Meeting Rooms II,meeting-rooms-ii,Medium,51.27756158594803,True,"array,two-pointers,greedy,sorting,heap-priority-queue,prefix-sum",algorithms
